new_id,old_id,EGFR,CDH1,ESR1,GATA3,H3F3B,MKI67,ACTA2,VIM,CASP3,ERBB2,TP53,KRT19,PGR,MYC,FN1,KRT14,SNAI2,MS4A1,VWF,KRT5,CD44,PTPRC,CD68,CD3E,CA9,KRT8,KRT7,TWIST1,RPS6,MTOR
19,not_cohort,-0.6048,-2.32337963,0.6594,0.7402,-0.2537,1.3104,-2.9462,-0.039958716,0.6081,-0.0965,-1.3229,0.5193,-0.2828,-0.9013,-0.7849,-0.7544,-0.2189,1.5465,-0.2759,-0.8513,-1.6961,0.9474,0.2667,0.2611,-0.6815,0.1377,-2.625616,-0.5698,-0.865,-1.1867
20,not_cohort,-0.4041,-2.090740741,0.1946,-0.1489,-0.4171,-0.3794,1.049,0.114439588,0.5257,-1.4591,0.2662,-0.5173,0.1619,-0.8852,-1.5437,0.1519,0.745,-3.003,-1.9523,0.507,-0.7581,-0.605,-0.2433,-0.7076,-0.0778,0.4035,3.302352,-0.2943,2.8499,-1.2465
21,not_cohort,-0.8286,-2.620138889,-0.0122,-1.5271,-0.3224,-1.2676,-0.8206,0.724965276,1.5094,-1.743,0.359,-0.7432,2.0407,-0.8615,-0.0145,-0.6137,0.5758,4.95925,-1.8742,-0.4992,0.1864,1.7601,-0.2808,1.4512,-0.5951,-1.1301,1.473152,-0.9279,2.5367,-2.0282
22,not_cohort,-0.5606,-3.033796296,0.4249,-0.7664,0.0332,-0.2045,-0.3898,0.594759664,0.6983,-1.3374,0.3372,-0.4909,0.3669,-0.6274,-0.8245,-0.527,0.7456,0.27325,-1.2488,-0.403,-1.0687,-0.2227,-0.5608,-1.0197,-0.8553,0.2223,0.40528,-0.6809,2.1597,-2.6269
23,not_cohort,-0.6848,-3.136574074,-0.282,-0.7521,-0.6722,0.0533,-3.1304,-0.105741092,1.1515,-0.8981,-0.1557,-0.8534,0.9125,-0.855,-1.0362,0.1826,0.9357,-0.14575,-0.857,-0.9878,0.7211,0.249,0.7311,0.9697,-0.3603,-0.6672,-2.513824,-0.2786,1.5693,-1.015
24,not_cohort,-1.1666,2.093287037,0.7915,0.4868,0.1634,0.3377,-1.2772,-2.730784088,-0.2798,-0.4367,-0.2815,-2.9921,2.0762,0.2138,-0.9015,-0.0988,-1.3259,1.4125,0.2397,-0.9069,0.4344,-0.2734,0.1431,-0.9812,-0.3344,-1.1758,-3.333088,-1.3762,-0.2369,-0.4941
25,not_cohort,-1.0919,-2.434722222,1.0706,0.7357,0.7866,2.3425,-1.9132,-2.542679112,-0.3004,-0.535,0.6085,0.3904,0.5046,0.263,-0.8744,-2.9801,-0.4901,0.7005,-1.2112,-1.0541,-0.2776,-0.746,-0.1798,-1.178,-0.6824,1.6885,-3.1076,-0.2327,-1.1466,-1.2176
26,not_cohort,-0.27,-2.575462963,-0.1696,0.2274,-0.8551,-2.3753,-0.6878,0.509405672,1.6371,-1.2154,-0.2773,-0.3575,0.981,0.4196,-0.7013,0.7683,-0.3476,-0.4175,0.6629,0.2975,-0.8631,1.8601,1.0337,0.0817,-0.0886,-0.2205,2.451536,-0.1813,-0.4254,-0.3745
27,cohort,-0.549,-1.114969136,0.2311,0.012,-1.0969,-0.1822,0.9312,0.848429554,0.8785,-0.5637,0.6036,0.3389,1.4029,-0.0268,0.0721,0.874,0.8184,-1.5795,-1.8209,-0.9152,0.6628,0.8771,-0.0292,0.245,-0.4837,-0.2117,2.9716,-0.3409,-0.0168,0.3011
28,not_cohort,-0.0648,-1.953009259,0.2324,1.3504,-0.2004,-0.4591,2.8762,0.51919148,-0.6654,0.3921,-0.0209,0.2835,-0.2486,0.7401,0.737,0.5315,-0.2752,0.9305,-0.2356,1.5865,0.9643,-0.8537,-0.8067,-0.9673,0.2544,-0.3835,5.677184,0.861,1.1876,0.0206
29,not_cohort,-0.3145,-0.048148148,0.5282,-0.1315,0.8891,2.2084,-1.885,-2.892793576,-1.883,-1.2604,3.245,-0.0028,0.2818,0.3962,0.2213,-1.4726,-0.2896,-0.26025,-1.6432,-1.007,0.9951,-0.8728,-1.3803,-0.6227,0.5278,1.5547,-2.844304,-0.951,1.5099,-0.8736
30,not_cohort,-0.3703,-3.069444444,-0.2037,-1.6419,0.1021,-0.2755,-7.0668,-0.354463712,2.0147,-2.2026,-0.6167,-1.0484,-0.7488,-1.6047,-1.3362,-1.0191,0.4766,14.67625,-0.9336,-0.566,1.1197,-0.0763,-1.5762,0.6743,-0.3548,-1.2628,1.466896,-0.2411,1.7289,-2.3895
31,not_cohort,1.079,0.921990741,0.1966,0.3456,-1.8547,0.1938,-7.585,-3.009679616,0.2712,-0.3747,-0.5315,1.1479,1.5442,1.5135,-1.3497,-0.2887,-2.0545,-0.79,-3.137,-1.1234,0.3691,0.6808,0.4876,0.1054,2.3306,0.2744,-3.310784,-1.5198,1.3909,0.6416
32,not_cohort,-0.0152,-4.123611111,0.5738,0.739,-0.034,0.7873,1.17,3.117051676,-1.384,-0.0612,0.7354,0.0459,-0.0756,-0.6342,0.1764,0.3601,0.9462,1.9585,-0.1695,0.2507,0.8893,-0.1136,-0.4934,-0.4741,0.3368,0.2172,1.604256,0.0959,0.91,-0.0386
33,not_cohort,-0.2134,-1.470601852,-0.0781,0.5607,-0.7219,-2.5525,-1.3232,0.853811748,-1.4058,-0.8975,-0.2989,-0.6282,-0.7557,-1.399,-0.8995,0.8942,-0.0843,4.3845,-0.1916,-0.584,-0.9369,0.2936,0.2768,0.8081,-0.6115,-0.0081,-1.890944,0.523,-0.4476,-0.8825
34,not_cohort,-0.3898,-0.649537037,0.5025,0.7824,-0.6031,0.0848,1.4486,-1.29390128,0.4946,0.7038,1.7706,0.3254,1.4326,0.5552,-0.6687,0.319,-0.3826,1.8695,-1.7245,0.1836,1.3977,-1.3738,-1.2096,-0.7783,0.8683,0.8764,2.659344,-0.9508,1.4936,1.1461
35,not_cohort,0.1929,0.012268519,0.4549,0.0404,0.7503,-1.6471,2.2626,1.974286764,-0.5875,-0.1948,0.4373,0.1706,0.7757,1.1437,0.0494,-0.0606,1.4967,0.919,-1.3211,0.838,1.1896,-0.3102,1.04,-0.3921,0.419,0.2448,3.774272,0.4437,1.3734,-0.1954
36,not_cohort,0.114,-1.769907407,0.4018,0.8537,-0.5075,0.0628,2.2864,0.936175632,-0.2851,-0.4937,0.5508,-0.0311,-1.1944,-0.2034,-1.273,0.0489,-0.1676,-3.3895,0.5584,0.8941,-0.556,-0.1845,0.1065,0.2959,-0.2589,-0.6155,2.852464,0.0533,0.1866,0.0532
37,not_cohort,-1.3864,-2.833796296,0.831,0.6843,1.1764,-0.9382,-0.8754,-1.14031846,-1.3856,0.328,-0.0696,0.7677,-0.5412,0.5782,0.1375,-1.8744,-1.1197,2.36025,-1.9935,-1.1,-0.8355,1.1829,0.7396,-0.2215,-0.594,1.1692,-3.52648,-0.6623,0.4915,-0.1082
38,not_cohort,-0.8711,-2.064814815,0.5248,1.0069,-0.4163,-0.1975,1.876,1.11993136,-1.1418,0.0193,-0.3725,0.417,-0.6822,0.5971,1.7655,0.4611,0.0919,-0.22325,0.4421,-0.7194,0.1829,1.022,1.1951,-1.0671,0.221,0.2992,-0.712096,-0.1437,0.3153,-1.3906
39,not_cohort,-0.1353,-2.006712963,0.4049,1.4323,-0.8111,-0.0144,3.0712,0.786670232,-0.5453,0.3813,-0.4234,0.1476,-0.094,-0.4713,0.3397,0.2362,0.4513,-3.06875,-0.8927,1.5351,-0.4065,-0.3644,-0.0184,-1.0598,-0.7883,0.0685,4.88784,0.0524,1.3338,0.1503
40,not_cohort,-0.6011,1.116435185,0.8627,0.5717,0.6518,-1.8038,2.086,0.306350156,1.2328,-1.2852,-0.4138,-0.4599,0.8258,0.6908,-0.1803,-0.4851,-0.2122,0.829,-0.513,0.0821,-1.4531,0.4653,-0.2274,-1.1209,-0.7603,0.6095,3.163088,0.6268,0.3644,-1.6626
41,not_cohort,-0.0856,-0.523148148,-0.0545,1.0287,0.3964,0.3969,0.181,2.372242956,0.8788,-0.3866,-0.506,0.5018,1.1522,1.0029,-0.6542,-0.5406,0.35,1.73625,1.75,-0.5601,-1.218,0.4089,-0.1985,-0.5354,-0.461,-0.1785,-1.033872,0.7983,0.7025,-0.9887
42,not_cohort,-1.4028,-2.051388889,0.8969,0.7991,-1.2008,0.6292,-1.4768,-3.123031892,0.2225,-0.2573,-0.3408,0.4516,2.0453,-1.7984,-0.2458,-0.2358,-0.9698,-1.5945,0.0493,-0.8981,-1.3056,-0.5273,0.3372,-1.0315,-0.6287,-0.4322,-2.17736,-1.5694,0.428,-0.6357
43,not_cohort,-1.0371,-2.183333333,0.9093,0.7921,-0.3574,1.3034,1.3892,-0.0203871,-1.4973,-0.7961,0.0864,0.1709,0.7847,0.4253,0.7516,-0.3195,-0.2044,3.674,-0.1164,-0.6439,0.3794,-0.2695,0.2428,-0.6248,-0.6064,-0.5173,-2.155056,-0.3454,-0.1206,-0.9639
44,not_cohort,0.4975,-1.459490741,0.1886,0.5424,0.2439,-0.3641,1.049,3.276342884,-0.0441,-0.7061,0.387,-0.5782,0.7599,1.3533,-0.1959,-0.2199,1.6483,2.7375,2.1227,0.2632,-0.3671,0.2648,-0.6144,0.6765,-0.8269,0.2067,2.170832,1.0613,0.3538,0.0765
45,not_cohort,0.1278,0.516203704,0.5909,1.3574,-1.1052,0.1994,2.6406,1.453192488,-0.4805,0.4632,0.4862,0.663,-0.8225,0.5946,2.2161,-0.9704,0.1869,-1.1365,0.5997,-0.8462,0.3211,0.2428,1.6512,-1.1407,2.6855,-0.1891,-3.132896,-0.5776,-0.0689,0.0715
46,not_cohort,0.2985,-1.756712963,0.617,1.2836,1.1263,0.1431,2.0772,0.786670232,-0.441,0.1362,0.8302,-0.4015,-0.6231,-0.5678,-0.6805,-0.0683,0.6414,1.0145,0.3855,1.1299,0.8965,-0.2052,-0.4956,-0.9604,0.0753,-0.5244,4.330784,0.2033,0.3762,0.1749
47,not_cohort,-0.8702,-2.82337963,0.5664,0.9292,-0.7655,0.5443,2.0084,-0.055452912,-0.6348,-2.5568,0.9636,-0.4254,-0.6813,1.3254,0.5928,-1.4775,-0.1831,0.55225,0.1314,-0.1028,0.6295,-0.0536,0.9986,-0.6459,-0.0525,-0.7195,1.45656,-0.6544,0.6953,-0.4047
48,not_cohort,-0.913,1.300462963,1.0906,0.6501,-0.0756,0.4713,-1.5416,2.113734528,-1.852,-0.6217,-0.0635,0.6785,1.7768,0.8781,-0.0786,-0.2308,-0.0543,2.4345,-0.6961,-1.0338,1.9715,0.0341,0.7717,-0.6764,-0.2859,-1.0185,-3.647792,-0.598,-0.1908,-3.029
49,not_cohort,-0.475,-1.840972222,0.45,0.8295,-0.0402,-0.7118,0.7734,1.901980516,0.4531,-0.5548,-0.9314,0.0115,0.4338,-0.4349,0.4843,0.2016,0.7899,2.64175,0.5099,-0.0886,0.1408,1.8075,1.1925,0.0808,-0.5267,0.1006,1.304784,-0.056,0.3474,-0.5045
50,not_cohort,0.4039,-0.890046296,0.2485,0.7139,0.3466,-0.021,0.711,1.816354696,0.006,-0.0288,-0.0955,0.8688,0.8876,0.5169,-0.037,0.6822,0.9956,-4.3595,-0.2908,0.1636,-0.5683,-0.6575,-0.7321,-0.2444,-0.3655,-0.1551,2.058768,0.4769,0.0329,0.9576
51,not_cohort,1.1124,-2.571759259,0.7602,-0.0287,1.6935,-0.2594,2.2046,2.900676588,-3.3253,0.039,0.6877,-0.1647,1.9918,0.6451,-0.9378,0.0879,2.1492,0.9775,0.9516,2.3409,0.8573,-0.5083,0.8178,0.1191,-0.2959,0.0751,6.867184,0.0037,0.173,0.9784
52,not_cohort,-0.2669,-0.041898148,0.5936,0.5128,1.272,0.8466,-2.5674,-1.382517208,-0.907,-0.2565,-1.2833,0.3448,-0.9984,0.7344,-1.3608,-0.6747,0.1322,-2.0955,-0.2033,-0.2192,0.2479,-0.5815,1.0161,-0.3985,-0.1551,-0.8281,0.504288,-0.9868,0.482,-2.2292
53,not_cohort,-0.5984,-1.712268519,0.1813,1.243,1.5524,0.8397,-3.6632,-4.087749464,-0.9831,-0.3378,-1.6012,-0.622,0.2198,-1.1728,-1.3389,-1.5796,-1.5948,0.5095,-0.4906,0.1571,-2.0486,-1.2277,0.5953,-1.1841,-0.4635,0.2594,1.913792,-1.0511,-2.0129,-0.0046
54,not_cohort,-0.9522,-2.320138889,0.4655,0.6826,-0.3488,-2.6535,0.0014,0.501794488,-0.0567,-0.1641,0.008,0.5894,-0.894,1.7081,0.6422,-1.9407,0.0168,5.89925,-0.6289,-0.7453,0.0051,0.5705,0.6813,-0.2418,-0.7339,-0.5674,-0.77656,1.9105,1.1518,-1.8007
55,not_cohort,-0.4691,-1.208333333,-0.1626,0.0646,0.2721,-0.4767,1.757,1.635317248,-0.4362,-0.2977,0.9201,0.308,-0.1007,-0.84,1.2585,0.9654,0.4783,-0.60875,-0.005,-0.7778,0.6704,0.9436,1.5522,0.4282,-0.3011,-0.433,-3.428832,-0.7012,-0.6845,0.8485
56,not_cohort,1.0159,-3.359722222,0.6609,0.7041,0.5966,-1.6388,2.255,2.906928632,-1.648,0.1361,-0.2142,-0.2634,0.0304,0.2704,-0.3975,0.3643,1.1202,-1.64325,1.003,0.6714,0.6781,-0.748,-0.5905,-0.3713,-0.9239,-0.7441,3.452768,0.7765,-0.211,0.4401
57,not_cohort,-1.0167,-1.01087963,0.7124,0.884,0.3946,0.9554,-1.8324,-2.229261428,0.4203,0.293,-0.5435,0.9521,-0.9034,0.0115,-0.0366,0.382,-0.8124,0.52925,0.0515,-1.0027,-2.1133,-0.2295,1.2861,-0.7135,-0.5027,0.2913,-2.383808,-1.0362,-1.4118,1.3716
58,not_cohort,-1.0165,3.178703704,0.4207,0.9578,1.3504,-2.9494,-0.3898,-2.315430904,-0.4841,0.1258,-0.5331,0.549,0.376,-0.7435,0.5165,0.534,-1.3614,-0.99225,0.292,-0.5664,-3.5117,-0.8396,1.2022,0.797,-0.6114,1.0751,2.300032,-1.0464,-0.1748,0.1973
59,not_cohort,0.9553,2.592361111,-0.6276,-1.3149,0.3866,1.1118,-2.2266,0.885343796,2.0252,-0.0544,-0.5106,0.86,-0.8978,0.322,-0.0065,1.1967,0.3554,3.52,-1.3104,3.4294,0.4332,1.8912,0.9238,1.4745,2.1562,0.9195,8.957776,0.504,-0.6545,-0.8576
60,not_cohort,-0.7418,-1.727546296,0.6392,0.7797,0.5597,0.4889,-0.697,-1.040557584,-0.0505,0.3167,-0.4748,0.8169,1.1533,0.6408,0.2435,0.0631,-0.9911,3.2885,-0.8225,-1.2219,-0.2958,0.2403,-0.3073,-0.5053,-0.5235,1.2034,-2.244272,-0.2421,-0.7935,-1.5768
61,not_cohort,-0.1931,-1.691666667,-0.0597,1.0541,0.0684,0.9546,1.7826,2.309994344,-0.2933,-0.0312,-0.3978,-0.9773,-0.5269,0.2874,1.2453,-1.253,0.7717,-2.7245,0.7588,0.9653,-0.4705,-0.4741,0.4401,-0.7058,-0.6247,-0.766,3.91136,0.2236,0.3849,-0.858
62,not_cohort,0.6666,-3.163194444,-0.5129,0.0076,1.2413,-0.3021,1.0092,2.768024524,-0.2046,-0.2245,0.2896,-0.9449,-0.694,1.1278,-0.0388,-0.0553,0.8081,-0.533,1.2871,0.1984,-0.3683,0.5096,1.0647,0.5748,-0.3923,-1.477,0.975664,2.1658,0.1604,-0.3324
63,not_cohort,-0.9405,-3.079861111,0.376,0.8821,0.067,0.2973,0.8268,1.50728626,0.3738,0.1974,-0.4075,0.9299,1.8595,-0.3916,-0.0616,-0.1488,0.2182,-1.08275,-0.2081,0.2711,-0.5124,0.2605,-0.3615,0.0165,-0.3683,0.5522,2.889456,-1.3111,0.8399,0.1032
64,not_cohort,-0.2951,-2.871759259,-0.0733,1.0155,1.1691,1.2275,2.173,0.835599272,0.4202,0.3701,-0.1281,0.2725,0.1199,0.6167,0.8428,-1.8507,0.4969,2.662,0.8685,0.3613,-0.2384,0.0833,0.0581,-0.8908,-1.012,-0.0911,2.554624,1.891,-1.4744,-0.7711
65,not_cohort,-1.0119,-0.607407407,0.0051,0.6019,-0.9623,-0.1782,0.8008,-1.174568788,0.4802,-0.2292,-0.2333,0.5601,0.0111,0.4619,0.5441,-0.2614,-0.5621,-1.1165,-0.86,-0.9036,-1.7889,0.308,1.0078,-0.4559,0.5178,0.3532,-3.400272,-1.5686,0.2122,-0.1742
66,not_cohort,0.5373,-2.735185185,-0.1917,0.0995,-0.2044,0.3306,2.2626,2.8338069,-0.2814,-0.1622,-1.4166,0.1333,-0.8214,0.5907,5.1362,0.0828,1.502,-1.501,-0.4667,-0.0814,-0.5449,1.2425,1.9992,-1.0266,1.3725,-0.6882,1.586848,1.8682,-0.7323,-0.7544
67,not_cohort,-0.3391,-3.445138889,0.2633,0.6526,0.0395,0.1329,0.181,1.793792972,-0.341,0.395,-1.1725,0.3877,-0.9351,0.4814,0.5072,0.5328,0.5104,0.60725,1.4027,-0.239,0.0558,-0.1188,1.5741,0.6962,-0.6264,0.0112,-0.15368,1.0854,-0.9707,-0.4476
68,not_cohort,0.784,-2.499305556,0.6998,0.0355,1.1757,-0.109,2.6058,2.3716993,-0.4347,-0.5318,0.3536,-0.1366,-0.8399,1.5221,-0.8096,0.0505,0.6316,-0.02925,1.7808,1.9456,-0.8631,0.3567,0.1496,-0.2943,-0.422,-1.0637,5.524592,0.6076,0.9092,-0.0659
69,not_cohort,-0.6867,-2.922222222,0.7058,0.9153,-0.4071,0.5501,0.483,1.974286764,-0.183,-0.1112,-0.5308,0.0847,1.1996,0.739,-1.1422,0.1129,-0.5699,0.92025,0.1765,0.1649,0.4954,1.4799,0.5413,0.0239,-0.2585,0.3134,1.908896,-0.4519,1.5623,-1.4658
70,not_cohort,-0.8442,0.215509259,1.0236,0.3685,1.3344,0.8061,-6.158,-3.185008676,-0.3329,-1.3091,0.1658,0.7532,0.1632,-2.0116,-0.7063,-2.6617,-2.0494,3.9365,-1.506,-0.5856,-1.5993,0.3459,1.4518,-0.2247,-0.3727,0.4807,-2.72,-0.9207,-1.4723,0.5646
71,not_cohort,-1.0096,-2.041435185,0.4242,1.0295,0.429,1.0038,-1.1926,-2.315430904,-0.3594,-0.9731,1.1107,0.3537,-1.0252,-0.0474,-0.251,-2.9707,-0.5648,-0.30775,0.4828,-0.8907,-2.4037,-0.2119,-0.1981,-0.6451,-0.6087,-1.2016,-2.914752,3.0542,-0.4787,-0.7508
72,not_cohort,0.7874,-3.973842593,0.207,0.223,1.8446,0.8506,0.5882,1.388769252,1.4581,0.1626,-0.027,0.4916,0.9903,1.2998,-0.9339,-0.1373,0.7809,-4.39125,-0.4174,1.1243,-0.2996,-0.6496,-0.3033,-0.5088,-0.5484,0.7833,3.889872,0.0079,0.6854,-0.664
73,cohort,-0.0439,-2.219135802,0.2348,0.1068,-0.2658,-0.987,0.2548,2.721759398,-0.6995,0.0588,0.0606,0.3484,0.6864,0.7071,2.3301,0.9076,1.0431,-1.75325,0.0877,-0.0372,-0.1833,0.515,1.1313,-0.8636,-0.5117,0.2693,0.598672,1.3172,-0.1137,0.0386
74,not_cohort,-0.8377,1.06875,0.7864,-0.0735,1.0985,1.5812,-2.8918,-1.57252498,0.7492,0.047,-2.0098,0.6841,-0.2081,0.8849,0.6995,-2.3087,0.7321,-1.53075,-1.1479,-0.9136,-0.1612,0.1798,0.9746,-0.4334,-0.1619,-1.4429,-1.97472,-0.3747,-0.8686,1.3808
75,cohort,-0.9386,-4.39377572,0.5314,0.9107,-1.092,1.1436,0.6482,-0.134391763,-1.2307,-0.1998,0.6937,0.4558,2.1452,-0.5779,2.3087,0.3778,0.0772,-0.9355,-1.2593,-0.8904,-0.8559,-0.6859,1.1577,-0.9941,-0.2338,0.814,-1.982336,0.6277,-0.4278,-1.656
76,not_cohort,0.1594,-2.342361111,0.9678,0.5224,0.1364,-0.2639,1.042,2.715289892,-1.2585,-1.0705,0.5057,0.8669,1.6438,0.9697,0.2608,-1.2027,0.5824,-1.01925,1.2933,0.5437,0.6729,-0.5481,0.2126,0.3891,-0.5936,1.0998,1.51912,1.5112,0.5359,-0.1492
77,not_cohort,-1.0387,-0.309953704,1.1051,0.4355,0.3076,0.4715,-4.3682,-3.363327844,-1.5926,-1.5749,-0.5115,-1.1987,1.9662,1.5439,-0.2387,-0.2998,-1.5283,1.2265,-0.3067,-1.0111,0.4301,0.2088,1.3762,-0.7479,0.066,-0.2101,-2.459968,-1.505,0.4107,0.4615
78,not_cohort,0.3715,-1.46712963,-0.3299,0.3557,0.3207,1.0717,1.9694,3.012397896,-0.1023,-0.0825,-0.8139,-0.2226,-0.9528,0.9597,1.7715,-0.7778,1.2768,2.9935,1.1182,0.2358,0.1448,1.172,1.5037,-0.4031,-0.5752,-0.0551,1.822672,1.3305,-0.0742,0.515
