index,clinical,EGFR,CDH1,ESR1,GATA3,H3F3B,MKI67,ACTA2,VIM,CASP3,ERBB2,TP53,KRT19,PGR,MYC,FN1,KRT14,SNAI2,MS4A1,VWF,KRT5,CD44,PTPRC,CD68,CD3E,CA9,KRT8,KRT7,RPS6
TCGA-A1-A0SJ,not_cohort,0.6196,1.8763,0.1641,0.3208,0.08,0.5575,0.392,0.1996,1.6816,0.1415,-0.4833,0.8211,0.8538,0.0073,0.0578,0.8642,0.0269,0.1774,1.2149,-0.2154,-0.2165,-0.3359,-0.5008,0.0344,-1.2584,0.9922,0.8615,-0.9168
TCGA-A1-A0SQ,not_cohort,-0.2691,1.2887,0.6202,0.8434,-1.358,-0.1701,-0.4487,-1.2324,-1.2669,-0.3536,-1.6263,-0.0297,1.1914,-0.512,-1.2497,0.2567,-0.8391,-0.5353,0.2779,-1.55,0.2459,-0.2543,-0.2206,-0.6732,-1.2584,0.5184,0.1339,-0.7877
TCGA-A2-A04N,not_cohort,-0.4158,-0.0242,0.69,0.4418,-0.1352,-0.8667,0.144,0.3531,-1.0559,-0.279,0.9312,0.9933,1.4925,-0.068,0.9809,0.2129,0.4638,1.147,0.0329,0.7532,0.7794,-0.165,-0.4401,-0.4042,-0.5626,0.9586,0.027,0.2444
TCGA-A2-A04R,not_cohort,-0.4305,0.849,0.4904,0.7073,4.3081,0.9177,0.4293,-0.5733,0.6977,-0.1144,-0.7459,0.4174,0.9561,0.953,0.6795,0.1033,0.0923,-1.7465,-0.5219,-0.3832,0.5589,-1.9753,-1.3651,-1.5312,-1.0111,0.7541,0.0897,-0.2248
TCGA-A2-A04V,not_cohort,-0.9176,-0.011,0.6503,1.3238,0.8283,-0.0047,0.5039,0.5967,-0.2741,0.2394,0.3061,0.8661,-0.5661,0.1348,0.7858,-2.3082,0.5508,-0.5472,0.1564,0.2098,0.6563,-0.591,0.1546,-0.4428,-0.8064,0.507,-1.8841,2.0931
TCGA-A2-A04Y,not_cohort,-0.4249,0.9782,0.3492,0.2325,0.462,0.4663,-0.2369,-0.2161,0.4016,-0.0765,0.1483,1.0177,0.2084,-0.2864,-0.8029,0.1595,-0.4302,0.1346,-0.0014,0.7993,-1.135,0.7696,0.5052,0.7993,-1.1274,2.2178,-0.0352,0.5212
TCGA-A2-A0CK,not_cohort,-0.6375,-1.9436,0.0196,0.8888,0.8199,-0.4253,0.5334,0.5019,-0.6214,0.2618,0.0989,0.1892,0.6064,0.8191,-1.2703,0.9131,-0.5038,-0.1201,1.0274,0.0358,-1.2024,-0.1838,-0.3335,0.5798,-0.9845,-0.1601,0.5078,1.4384
TCGA-A2-A0CL,not_cohort,0.5058,0.5132,-0.5317,-0.042,0.3315,0.9164,-0.4558,0.225,-0.1142,-0.9703,0.689,-0.6653,-0.4214,0.1543,0.4849,0.1929,0.0616,2.0328,1.5462,-1.6954,0.2432,2.2282,0.9282,1.8795,-1.2584,-0.2581,0.4087,-1.0918
TCGA-A2-A0CO,not_cohort,0.5729,-1.7624,0.3065,0.1678,-0.1237,-1.6839,0.3705,0.9549,-1.2849,0.285,-0.4788,-0.2693,0.2618,1.4559,-0.7791,1.2034,-0.0498,1.5908,2.8038,0.0339,-0.1475,1.1423,0.3235,1.2881,-1.2584,-0.8841,1.019,0.356
TCGA-A2-A0CP,cohort,0.070066667,-0.2272,0.1668,0.5094,0.3277,-2.3511,1.9119,1.0438,-0.3751,-0.1752,1.1143,0.5412,1.2496,0.1038,0.9697,1.1136,1.143,-0.12365,0.9844,0.9527,0.0082,-0.867,-0.3025,-0.0594,0.4054,1.7335,0.9202,1.478
TCGA-A2-A0CQ,not_cohort,-1.7325,0.0703,0.7076,0.7081,0.1675,-0.3859,-0.6841,-0.6497,-0.2075,-0.1764,0.7551,-0.0538,0.8456,-1.4887,-1.2025,0.1809,-0.6723,-1.0985,-1.1685,0.3008,0.6652,-0.541,0.4773,-0.1892,-0.8411,1.2694,-0.0661,0.6325
TCGA-A2-A0CR,not_cohort,-0.4743,-1.0658,-0.1319,0.0833,0.4733,-0.8952,0.6961,1.3176,-1.0325,-0.5058,0.5227,0.3621,0.6056,0.0292,-1.3681,1.4119,-0.885,1.7862,1.7814,0.9976,-0.5993,0.8455,0.8143,2.4479,-1.091,0.4623,0.9145,1.7866
TCGA-A2-A0CS,not_cohort,-1.3436,0.5453,0.7662,0.9138,0.1007,-1.0297,-0.669,0.3601,-0.8579,0.0965,1.0912,0.2205,0.7956,-1.787,0.6529,-0.4094,0.5643,-1.4469,-0.1665,0.5998,0.6338,-0.5445,-0.2047,0.5665,-0.2175,0.9807,-0.7574,0.4724
TCGA-A2-A0CT,not_cohort,-0.486,0.9833,0.6498,0.7411,1.2359,-0.2755,-0.8485,-1.0233,-0.2956,0.5796,-0.8402,0.9437,-1.1141,1.2704,-0.5267,0.4372,-0.769,-0.9158,-0.4522,-2.0308,-1.822,-0.8948,-0.7083,-1.3908,-0.3514,0.8871,1.1249,-0.6182
TCGA-A2-A0CU,not_cohort,-0.0264,1.7126,1.0067,0.6293,1.3835,-0.0029,0.728,-0.3297,0.0387,0.4744,-0.7709,1.5563,-0.1761,-0.2565,-0.4424,-0.5353,-1.0678,0.1237,1.1145,-1.9076,-0.2341,-0.6585,-0.8783,-0.3635,-1.2584,0.9345,-0.7679,-0.7943
TCGA-A2-A0CV,not_cohort,0.2815,0.0391,0.4902,0.5085,-0.1231,-3.3996,1.1347,0.2797,-1.038,-0.4012,0.1482,-1.0726,0.795,0.3251,-0.5373,0.9958,0.2743,0.6256,-0.1306,0.1929,0.1946,0.1444,-0.1661,0.5188,-0.4386,0.0446,0.7014,1.6866
TCGA-A2-A0CW,not_cohort,-0.7385,1.6734,0.8013,0.2013,-0.4853,0.4864,-1.0736,-1.7059,0.9372,0.0463,-2.8016,0.472,0.7262,-0.9047,-0.6467,-0.3105,-1.1081,-0.46,-0.6142,0.5082,-2.1331,-0.3538,-0.5914,0.1287,-0.6374,1.9705,-0.4311,-0.7357
TCGA-A2-A0CY,not_cohort,0.598,0.547,0.7771,-0.4397,-2.2083,0.1672,-1.2594,0.6691,-1.4541,-0.5219,1.1186,0.8545,-0.5681,1.5006,0.9128,-0.2805,-3.2099,-1.9118,-0.6114,0.7199,-1.0733,-3.2563,-0.5775,-1.7495,2.1654,0.5854,-0.5103,1.1265
TCGA-A2-A0CZ,not_cohort,1.0668,-0.2101,-0.2325,0.5392,-0.3571,-1.4588,1.438,1.234,-1.2106,-0.1816,0.8721,0.8203,-0.1286,0.4882,1.5106,0.8742,1.5495,0.4102,1.3835,0.4182,0.4925,0.3563,0.7881,0.9224,-1.2584,-1.4928,0.8477,0.9672
TCGA-A2-A0D3,not_cohort,-1.0302,0.252,0.5397,0.8654,-0.547,-2.3012,-1.1403,-1.6734,-0.0551,0.2682,1.5112,-0.2427,1.3302,0.0394,-0.5604,-0.2309,-0.8511,0.9363,-0.2082,0.1568,1.334,0.2062,-0.8715,0.3608,-0.7484,0.5088,-0.1806,0.6408
TCGA-A2-A0D4,not_cohort,-0.9293,0.8764,0.4957,0.388,2.1089,0.1907,-0.8234,-1.0232,0.5013,0.2128,-0.3791,0.7464,-0.3081,-0.0865,-1.4632,0.0138,-0.3595,-1.3014,0.6361,-1.4406,-0.7569,-1.8353,-1.2015,-1.2595,-1.0623,0.09,-0.3122,-1.3368
TCGA-A2-A0EM,not_cohort,-0.26,0.3026,0.7294,0.5546,-0.0941,-0.7814,0.7107,-0.1075,-2.5347,-0.1196,0.6159,-0.2963,1.5468,-0.6317,0.8338,0.7767,0.4181,-0.7925,0.1715,0.2311,1.2157,-0.4694,-0.5556,-0.8048,-0.6785,-0.8598,0.5625,0.39
TCGA-A2-A0EN,not_cohort,0.4197,-2.3835,0.4121,0.1777,-0.8335,-0.6891,0.6238,1.3305,0.156,-0.1469,0.1514,0.2233,-0.7945,-0.6071,0.9247,0.0925,0.4152,1.3855,1.765,0.1937,0.6537,1.4952,1.162,1.4322,-1.0282,0.4024,-0.1191,0.249
TCGA-A2-A0EO,cohort,0.135383333,0.5038,0.3719,0.1831,0.982,-0.6683,1.4481,0.444,-0.0439,0.4289,0.4841,1.0867,1.3038,0.6809,0.8382,1.0733,0.7281,0.22195,0.4892,0.7668,1.1624,0.1864,0.069,0.4397,-1.1193,0.4741,1.0295,0.6581
TCGA-A2-A0EP,not_cohort,0.0508,-3.0296,-0.121,-0.1785,-0.412,-0.4519,-0.6482,2.1922,0.0976,-1.184,-0.0813,-0.6725,-0.9146,0.5493,0.4813,-0.4851,0.6259,1.9817,2.0604,0.4731,0.3038,1.8897,2.0061,1.8438,-1.0103,-0.9486,-0.1682,0.6752
TCGA-A2-A0ER,not_cohort,-0.3759,0.9208,0.962,0.7887,-0.6854,0.6805,-0.8713,-1.4187,-0.2756,-0.1308,-0.8531,1.1372,0.3519,-0.9396,-0.5091,-0.1091,-1.3128,-0.1043,-0.1853,0.3293,2.3562,-0.0645,-0.2021,-0.3948,-0.87,0.4733,-0.2629,0.068
TCGA-A2-A0ES,cohort,0.254466667,0.5517,0.3533,-0.2582,0.3734,-1.0783,1.5146,0.5856,-0.8594,0.02,-0.1907,-0.2231,1.193,1.0582,-0.6066,0.8641,1.3803,-0.021,1.2048,0.3209,0.643,0.2366,-0.2504,0.4704,-1.2584,-0.5925,1.2587,0.5097
TCGA-A2-A0ET,not_cohort,-1.988,0.7114,0.8048,1.1901,0.6602,-0.3249,-2.4348,-2.2538,-0.7756,0.0231,0.8114,0.2818,0.6715,0.4133,-1.821,-1.6178,-2.1271,-0.2888,-0.8018,-2.6697,-2.57,0.0953,-0.5687,0.2852,-1.2584,0.1538,-1.885,0.0779
TCGA-A2-A0EU,not_cohort,-0.4044,1.0293,0.785,0.5552,0.7737,-0.4427,-0.706,-0.57,1.5616,-0.3096,0.7117,0.5604,1.4334,0.5566,0.0824,0.211,0.1264,-0.4663,-0.0916,0.2586,2.1838,-0.378,-0.7931,-0.5375,-0.5176,1.2764,1.1856,-1.2529
TCGA-A2-A0EV,not_cohort,-0.1696,0.2275,0.6413,0.3253,1.2225,-0.1446,0.3037,0.2145,-0.3969,0.4676,-0.203,1.2883,1.254,-1.7585,0.9709,0.1002,-0.3332,-0.2654,0.4522,-1.5926,0.2249,0.4781,1.1479,0.6079,-0.538,1.3568,0.0455,-0.9749
TCGA-A2-A0EW,not_cohort,1.1931,-1.0124,0.4419,0.1735,-0.4555,-0.8824,0.5054,0.8017,-0.9537,-0.1233,-0.218,0.5893,0.642,0.8688,0.1233,1.0096,1.1001,0.9297,1.6823,-0.2332,-0.7504,0.6582,0.0643,0.4371,-1.0671,-0.5329,0.9769,0.237
TCGA-A2-A0EX,cohort,0.032833333,-2.1405,0.1269,0.5072,0.2581,-1.3606,1.0052,0.3353,-0.9156,0.5316,0.1338,0.6471,0.9928,1.0665,0.4155,0.9117,0.1308,0.51795,0.247,0.822,0.4486,0.2553,-0.4788,0.2926,-1.2584,0.471,0.5285,1.9185
TCGA-A2-A0SU,not_cohort,0.0373,0.073,1.1082,0.9453,0.8514,-0.3497,0.3559,0.2856,-0.3383,0.181,0.0268,-0.0643,0.4256,0.3525,-0.1424,0.7467,0.3517,0.0098,1.4833,-0.0674,1.0834,0.0725,-0.8845,0.5098,-1.0772,0.0315,0.5656,0.7806
TCGA-A2-A0SV,not_cohort,-0.7826,0.2426,-0.176,0.4448,-0.0601,0.031,0.8465,0.7123,0.8484,-0.169,0.6256,0.5182,0.1776,1.1514,0.9138,-1.125,-0.3054,-0.9001,-0.6627,-0.8205,0.0953,0.1868,1.7239,0.0345,-0.1955,1.2792,-1.2475,-1.2682
TCGA-A2-A0SW,not_cohort,-0.5581,0.639,0.4911,-0.3444,0.3721,0.9547,-0.4346,0.0272,0.5082,-1.7477,0.0206,-0.8639,0.3341,-1.6671,0.5206,-1.9251,0.1934,1.1299,-0.0778,1.0236,0.337,0.9637,1.256,1.1331,-0.7829,0.3366,-1.2748,-1.3968
TCGA-A2-A0T3,not_cohort,0.8558,0.7724,0.6166,0.2842,1.2854,0.719,-0.2624,-0.8098,2.2656,-0.2317,-2.0753,-0.1646,1.2502,0.9438,0.5293,0.3549,0.214,-0.1254,0.1084,-1.2915,-0.1014,-0.954,-1.8051,-0.459,-0.9582,-1.3686,0.1549,-0.5151
TCGA-A2-A0T4,cohort,0.003933333,-1.238,0.7935,0.5985,0.6696,0.7985,-0.2651,1.1057,-0.0309,0.016,-0.1355,0.2815,1.0249,0.6838,0.2761,0.1011,0.6331,-0.02285,1.1429,-0.5368,0.7868,0.2696,0.6462,0.556,-1.2584,-0.0005,-0.0337,0.2262
TCGA-A2-A0T5,not_cohort,0.7656,-0.0851,0.3219,0.575,-0.9661,-0.4797,1.152,-0.0313,-0.116,0.1972,1.4791,-0.2038,1.1695,0.9285,0.9035,1.312,0.6283,-0.0053,0.1227,0.1803,1.0739,-0.6322,-0.9552,-0.5929,0.4902,0.3517,1.1383,1.9633
TCGA-A2-A0T6,not_cohort,0.4422,-0.7445,-0.0583,0.5009,-0.5918,-1.4447,0.2358,0.8906,-0.3669,0.4045,0.0775,-0.2421,0.8718,0.4205,1.5054,-0.8219,0.6424,1.1583,0.6004,0.4235,0.1744,1.1074,0.4685,0.7124,0.1551,-0.5239,-0.8387,0.0825
TCGA-A2-A0T7,not_cohort,0.9438,0.8717,-0.101,0.269,-0.4751,0.448,1.1303,0.1584,0.0523,-0.0855,0.5913,0.1773,0.0787,0.1505,0.8631,0.9188,1.4224,-0.4783,-0.5748,0.8372,-0.7295,-0.0137,0.3252,0.0825,-0.7151,0.9403,0.967,-0.7718
TCGA-A2-A0YC,not_cohort,-0.5575,0.0981,0.786,0.4688,1.6335,-0.2642,-0.0749,-0.2699,-0.487,0.5748,-0.5741,1.0844,1.498,-0.5064,0.3752,-0.7157,-0.4135,-0.5412,0.3967,-1.6713,0.7293,0.1023,0.5953,-0.168,-0.0265,-0.3307,-0.7562,-0.7943
TCGA-A2-A0YD,not_cohort,0.6305,-2.2514,0.6616,0.4439,-0.6288,-0.3802,0.4164,0.7795,0.2058,-0.2438,0.569,0.5995,1.138,0.0298,1.1166,0.2777,0.7914,0.3276,1.4695,0.2961,-0.1354,0.7127,0.5151,0.313,0.3893,0.6723,0.1256,-0.4874
TCGA-A2-A0YF,not_cohort,-0.561,0.9979,1.1136,0.4889,1.0908,0.7137,-0.6509,-0.6579,1.6367,-0.1766,0.5437,-0.1112,0.4579,0.1204,-0.6767,-0.1539,-0.6143,-0.7073,-0.2552,-0.2202,-0.4196,0.1956,0.6984,-0.6368,-1.1486,-0.457,-0.2626,-0.7993
TCGA-A2-A0YH,not_cohort,-0.6427,-0.0889,0.5669,0.3201,-0.9537,0.5787,0.0827,-0.1382,0.5057,-0.1269,0.5012,0.7621,0.0115,0.4607,0.4183,-0.6344,0.2042,-0.687,-0.0747,-0.8615,-0.3313,1.0474,1.805,0.6031,0.0334,1.423,-0.5306,-0.7169
TCGA-A2-A0YI,not_cohort,0.4023,0.735,0.8446,0.4859,-0.6041,-1.3268,-0.4419,0.0549,0.2007,-0.2697,0.1956,-3.6557,0.8399,-0.395,-0.1126,0.1931,0.3536,0.8536,0.5837,-0.5295,0.7293,1.3199,0.6446,0.8662,-1.1399,-0.8392,0.0455,-0.1909
TCGA-A2-A0YJ,cohort,0.29815,0.5624,-2.2676,-3.5939,-1.6108,0.621,0.1126,1.0592,-0.8338,1.7196,-1.0242,-0.3197,-1.7213,1.6241,-0.0703,1.4165,-0.2984,-0.9559,-1.227,0.9723,0.9409,-1.3848,-0.0479,-1.5157,2.2192,-0.0925,0.86,-0.2987
TCGA-A2-A0YK,cohort,0.217366667,-0.5822,0.6199,0.0722,-0.4582,-0.478,1.2462,0.6805,-0.1748,-0.6034,0.2839,-0.8663,-0.332,0.3514,-0.654,0.9395,1.0426,0.51155,1.5831,-0.0433,0.5559,1.8551,0.016,1.615,-1.2584,-1.3362,0.9504,0.3254
TCGA-A2-A0YL,cohort,0.1958,-0.6585,0.1594,0.3815,-0.9596,0.1982,0.6747,0.3178,-0.4128,-0.5698,0.3514,-0.6302,1.2258,1.0935,0.0567,0.7502,1.8851,0.0889,0.8511,0.2186,0.7372,0.397,-0.2389,0.5076,-0.1957,-0.1211,0.8649,1.0985
TCGA-A2-A0YT,not_cohort,-0.2811,1.5189,0.703,0.1856,0.6944,1.0187,-1.1745,-0.8636,1.4842,-0.2535,0.3964,0.0574,-0.9247,-0.2055,-0.4433,-0.2216,-0.9446,-1.0753,0.5705,-1.8247,-1.1545,0.0637,-0.2451,-0.2332,-1.2584,1.2329,-0.0225,-1.5503
TCGA-A2-A1FV,not_cohort,0.2991,-1.8778,0.7179,0.9924,-0.374,-0.3552,0.0697,-0.3595,-2.1033,-0.3508,-0.9576,-1.1512,-0.473,1.3904,-0.723,0.126,-0.2586,-0.9379,0.5794,-0.9957,1.54,-1.235,-2.2643,-1.596,-1.1378,-2.3004,0.0591,1.3137
TCGA-A2-A1FW,not_cohort,0.2605,0.7784,1.0343,1.0023,1.0609,1.3156,-0.2618,-1.6529,0.4998,-0.9654,0.6635,-1.0969,-0.7965,0.4218,-0.3155,-0.0457,-0.3845,-0.0907,-0.1436,-1.981,-2.6275,-0.0002,-0.5288,-0.2535,-1.2584,-0.7834,0.066,-0.8323
TCGA-A2-A1FX,not_cohort,-0.2061,-0.1088,0.6614,0.5658,0.5309,0.4688,-0.8288,-0.4946,0.3325,-0.4509,0.7658,0.4878,0.8185,0.1162,-0.2225,-0.2634,-0.277,-0.6981,1.1717,-0.2793,-0.1947,0.1265,0.0674,-0.1723,-1.2584,0.5554,-0.2035,-1.1449
TCGA-A2-A1FZ,not_cohort,0.7403,0.8172,0.8125,0.5651,-0.9267,-0.3583,-0.1197,0.3554,-0.2179,0.0736,0.3606,-0.0397,1.1303,-0.5275,0.7566,0.4077,0.1421,-0.5748,1.3734,0.0997,0.8319,0.3734,0.8879,-0.0741,-1.1013,-0.6208,0.3508,-1.1951
TCGA-A2-A1G0,cohort,0.144683333,0.2603,0.1183,0.4539,0.2093,-1.1447,0.1122,-0.1987,-0.8321,0.8247,-0.3384,0.7452,1.0883,0.8012,-0.1272,0.4507,0.4205,0.35125,0.886,0.0966,1.1566,0.7445,-0.1433,0.5204,-1.1294,-0.027,0.6108,-0.3852
TCGA-A2-A1G4,not_cohort,-0.4681,0.1601,1.2082,0.7045,0.3331,1.0168,-1.6824,-1.3807,-0.7978,-0.7541,-0.6787,0.1728,0.8774,-0.0186,-0.7844,-0.778,-1.6059,0.9623,-0.2871,-0.4808,0.1909,-0.0132,-0.3068,-0.5171,0.6575,0.5121,-0.9231,0.4115
TCGA-A2-A259,cohort,0.11815,0.3909,0.834,0.3437,-0.5719,-0.9544,0.7484,-0.1934,-0.216,-0.781,1.6983,-0.4009,1.1476,1.1868,-0.3352,0.6866,-0.1552,0.67755,0.6309,0.2057,1.8391,1.0272,-0.5298,0.3044,-1.2584,-0.2495,0.7746,0.3891
TCGA-A2-A25A,cohort,0.1837,-0.8401,0.0043,0.2886,0.1012,-0.1287,1.1698,1.0474,0.1164,-0.9556,0.3059,-0.8427,1.1306,0.5648,-0.392,1.0414,0.8393,0.28835,1.8947,0.3355,-0.6726,0.6945,-0.079,0.6463,-1.0231,-0.7656,0.8744,0.5293
TCGA-A2-A25B,not_cohort,1.5421,1.0709,0.0251,0.6017,0.7323,0.8973,0.4069,0.2969,1.1938,-0.9821,0.3858,-0.9931,-0.1511,-0.0226,1.0103,-2.4463,-0.3318,-0.4118,-1.1147,-0.1914,-0.9174,0.7154,0.4647,0.0701,-0.09,0.3219,-1.9397,-0.9832
TCGA-A2-A25C,not_cohort,0.0742,1.0436,0.0517,0.2072,0.5251,1.4287,-0.3115,-0.8186,-0.3334,-0.0542,1.1299,-0.1655,0.3751,-0.5239,0.4153,-0.1993,0.6211,0.63,0.2825,0.2744,-1.5618,0.4401,-0.524,0.0621,-1.2584,0.1927,-0.0231,-0.9511
TCGA-A2-A25D,not_cohort,-0.7012,-3.0448,-0.1517,0.0999,0.8023,-0.3243,-0.4266,-0.0286,-0.6949,0.1712,-0.3832,0.3291,-1.2883,1.8387,-0.8542,0.1853,-0.7356,1.0763,1.959,-1.2767,0.7382,0.9448,0.8546,1.2772,-0.8936,0.6885,0.1594,2.5109
TCGA-A2-A25F,not_cohort,1.9395,-0.8248,-1.4164,-2.0116,-0.9471,1.2711,0.2493,1.2342,1.623,-2.0008,-0.138,-2.7756,-0.8461,0.3541,0.6198,-1.7123,0.5278,2.1983,1.5062,-0.3438,1.2475,2.8183,2.5053,2.0941,-0.9986,-3.0735,-0.2779,0.0194
TCGA-A2-A3KC,cohort,0.175616667,-1.3453,0.4887,0.5027,-0.0905,0.3786,0.2064,0.3327,-0.3274,0.5908,0.7537,-0.1008,0.7143,1.1267,-0.234,0.7225,0.6047,-0.0419,1.2991,0.5358,-0.452,0.2021,0.3004,0.141,-0.7888,1.317,0.4774,-0.0506
TCGA-A2-A3KD,not_cohort,0.754,0.5747,0.6698,0.4433,-1.2976,0.1371,-0.1398,0.4209,-0.4816,0.102,-0.6999,0.8133,0.7512,0.5394,-1.006,0.5491,0.0136,-0.4244,0.5543,0.8406,-1.1879,-0.1963,-0.4475,-0.1682,-1.0471,0.7897,0.4544,-0.4415
TCGA-A2-A3XW,not_cohort,0.7522,0.4073,-0.3189,0.2698,1.7263,-0.9084,0.7851,1.1385,-2.1127,0.2101,0.4492,0.4855,-0.311,2.2767,-1.2134,2.4821,-0.1199,-0.9895,0.744,0.1049,0.4251,-0.6997,0.2534,0.6238,0.8954,0.8012,2.2902,0.9811
TCGA-A2-A3Y0,not_cohort,0.6995,0.332,-0.769,-0.8265,0.8614,0.8465,-2.2245,-0.8689,0.1341,-1.1768,-1.0578,-0.0657,-1.7466,0.8656,-1.9026,0.8568,-0.7004,0.535,-0.392,0.6467,0.1196,0.0094,0.1689,1.0357,2.2507,-0.1812,1.6631,0.8632
TCGA-A2-A4RW,not_cohort,0.4092,-2.2718,0.1808,0.706,-1.4124,-0.8394,-0.6617,0.2546,-0.6095,0.268,-0.0372,0.3222,0.7886,0.142,0.0007,0.4225,0.5539,0.5304,0.8959,-0.1368,1.0131,0.2063,-0.3455,0.3735,-1.0436,-0.2332,0.3328,-0.4208
TCGA-A2-A4RX,not_cohort,1.4879,-0.019,-1.3373,-1.8795,-0.8666,-0.0997,0.9526,1.8354,-0.9503,-0.3515,1.1334,-3.8187,-0.2251,0.8839,1.5251,2.3464,1.6145,1.7568,0.2041,0.6349,0.8901,0.8057,-0.7727,0.4061,2.5653,-0.7601,1.7904,-0.1306
TCGA-A2-A4RY,not_cohort,1.204,-0.2269,-0.2912,-0.0934,0.3249,-1.4959,1.0059,0.2024,-1.5383,0.2322,0.3032,0.03,0.802,0.9491,-0.7364,1.3191,1.2843,1.2146,1.2801,0.5235,-0.7062,0.3338,-0.6163,0.5123,-0.9244,-0.0512,1.263,0.5125
TCGA-A2-A4S0,not_cohort,-2.1161,0.2834,0.9753,1.1807,-0.7113,-1.9174,-1.4044,-1.8664,-1.6125,-0.7269,-0.6519,-0.2997,1.5282,0.8464,-1.3136,-0.9442,-2.0497,-1.4078,0.5455,-0.5224,1.7512,-1.0317,0.5307,-1.6899,-0.757,0.1108,-1.2278,-0.8137
TCGA-A2-A4S1,cohort,-0.057316667,-5.8017,-1.5746,-3.4724,0.9434,-1.0919,0.4515,2.4922,-0.1274,-3.819,-0.2267,-6.58,-1.9366,0.132,1.4557,-1.776,2.8617,-0.69005,-0.2278,-2.6901,-0.0056,0.2663,1.8656,-0.1078,-1.0114,-7.448,-1.7697,-1.6614
TCGA-A2-A4S2,not_cohort,-0.2407,0.1619,0.2578,0.6966,-1.0339,-1.143,-1.157,-0.45,-1.3,-0.0605,-0.0165,0.6159,0.9637,0.3002,0.0468,0.5151,-0.2386,-0.041,1.1448,-0.8956,0.9965,0.5384,0.5282,0.8028,0.0023,-0.4978,0.3871,-0.6441
